fund,vintage_year,capital_committed,cash_in,cash_out,cash_out_and_remaining_value,net_irr,investment_multiple
"Carlyle Europe Partners III, L.P.",2007,241278605,460698733,742254678,743123667,11.1%,1.6x
"Carlyle Europe Partners V, S.C.Sp.",2019,163968999,289031030,208652745,314026329,3.6%,1.1x
"Carlyle Partners V, L.P.",2007,800000000,1067512609,1725940265,1741960390,12.8%,1.6x
"Carlyle Partners VI, L.P.",2013,300850000,597079518,1147613966,1182623638,15.8%,N/M
"Carlyle Partners VII, L.P.",2018,300000000,607268065,583265368,909020333,12.9%,1.5x
"Carlyle Partners VIII, L.P.",2022,177206640,252901374,166704638,308475473,12.8%,1.2x
"Carlyle Strategic Partners IV, L.P.",2016,150000000,219267579,138226783,253736544,5.3%,1.2x
"Carmel Co-Investment, L.P.",2025,100000000,43537908,0,43812432,N/M,N/M
Cedar Street Partners LP,2021,1000000000,485945027,39847411,926463905,34.9%,1.9x
"Centerbridge Capital Partners III, L.P.",2015,150000000,208523407,243367396,320019677,12.6%,1.5x
"Cerberus CAL II Partners, L.P.",2017,500000000,423762376,925885856,1222160671,22.7%,2.9x
"Cerberus CAL III Partners, L.P.",2019,500000000,508679533,42879804,395147318,-6.3%,0.8x
"Cerberus CAL IV Partners, L.P.",2025,50000000,17821782,0,17792950,N/M,N/M
"Cerberus CAL Strategic Partners, L.P.",2025,60000000,12833903,0,12754643,N/M,N/M
Cerberus CP Partners LP,2013,570297030,674624184,1135732926,1478902269,16.0%,2.2x
"Cerberus Institutional Partners V, L.P.",2012,400000000,479300095,777465161,900162771,13.3%,1.9x
"Cerberus Supply Chain Fund, L.P.",2023,200000000,72373834,767125,170545470,89.3%,2.4x
"Cerberus Ventures One, L.P.",2025,50000000,15583757,0,23042394,N/M,N/M
CF24XB SCSp,2025,36188294,35469013,0,39487743,N/M,N/M
"China Privatization Fund (Del), L.P.",2006,100000000,69317995,133415962,133415962,13.7%,1.9x
"ChrysCapital X, LLC",2025,180000000,1800000,0,80359,N/M,N/M
"Clayton, Dubilier & Rice Fund X, L.P.",2018,150000000,161652863,254327479,379394708,29.3%,2.3x
"Clayton, Dubilier & Rice Fund XII, L.P.",2024,500000000,212878562,47909261,308237179,N/M,N/M
"Clearlake Capital Partners III, LP",2012,50000000,70740191,202436054,203683073,40.7%,2.9x
"Clearlake Capital Partners IV, L.P.",2015,56700000,89141513,148332960,174024805,26.6%,2.0x
"Clearlake Capital Partners V, L.P.",2018,75000000,114879617,160542738,217223612,31.0%,1.9x
"Clearlake Capital Partners VII, L.P.",2022,350000000,251073169,941316,278237680,3.7%,1.1x
"Clearlake Capital Partners VIII, L.P.",2025,200000000,14450319,0,8874575,N/M,N/M
"Clearlake Opportunities Partners (P), L.P.",2015,56700000,84739312,64168643,114127799,8.0%,1.3x
"Clearwater Capital Partners Fund III, L.P.",2006,150000000,150000000,157031855,163435806,1.3%,1.1x
"Coalesce Capital Fund I, L.P.",2024,150000000,54736543,2136041,56049191,N/M,N/M
"Coastal Pacific Partners, L.P.",2023,343749880,258977742,4325635,283547232,15.7%,1.1x
"Cobalt Investment Fund, L.P.",2024,100000000,278860,0,278860,N/M,N/M
"Coe""cient Capital Apex Fund I, LP",2023,83726563,36409416,9187466,36822669,0.8%,1.0x
"Coe""cient Capital Fund II, LP",2024,93340625,12754431,0,11346912,N/M,N/M
Corps of Discovery LP,2025,200000000,112605985,0,112228590,N/M,N/M
"Crosspoint Capital Fund II, LP",2023,300000000,193378164,416541,210541040,3.5%,1.1x
